"^Twisted ([\w.]+) FTP Server$" ::DELIM::  "Twisted (Python) FTP Server"
"^Gene6 FTP Server v(\d{1,2}\.\d{1,2}\.\d{1,2}\s{1,2}\(Build \d{1,2}\)) ready\.\.\.$" ::DELIM::  "Gene6 FTP Server on Windows"
"^([\w.-]+) X2 WS_FTP Server ([\d.]{3,6}\s?\(\d+\))$" ::DELIM::  "WS_FTP FTP Server on Windows - X2 variant"
"^V2 WS_FTP Server ([\d.]{3,6}\s?\(\d+\))$" ::DELIM::  "WS_FTP FTP Server on Windows - V2 variant"
"^FTP Server \(ZyWALL (USG\s?[\w-]+)\) \[([[a-f\d]:.]+)\]$" ::DELIM::  "ZyXEL Unified Security Gateway"
"^Welcome to TP-LINK FTP server$" ::DELIM::  "FTPD on a TP-LINK device (no version/host info)"
"^ucftpd\((\w{3}\s+\d{1,2} \d{4}-\d\d:\d\d:\d\d)\) FTP server ready\.$" ::DELIM::  "ucftpd with version"
"^ucftpd FTP server ready\.$" ::DELIM::  "ucftpd without version"
"^Welcome to TBS FTP Server\.$" ::DELIM::  "TBS FTP Server"
"^Sofrel (S5[\w]+) SN ([\d-]+)  ready. Time is (\d{2}:\d{2}:\d{2} \d{2}\/\d{2}\/\d{2})\.$" ::DELIM::  "Sofrel Remote Terminal Unit"
"^TiMOS-[CB]-([\S]+) cpm\/[\w]+ ALCATEL (SR [\S]+) Copyright .{1,4}$" ::DELIM::  "ALCATEL Service Router running TiMOS"
"^(\S+) FTP server ready\.?$" ::DELIM::  "Generic FTP fingerprint with a hostname"
"^(\S+) FTP server \(Version (\d.*)\) ready\.?$" ::DELIM::  "Generic FTP fingerprint with a hostname and a version for a generic FTP implementation"
"^FTP (?:server|service)?(?: is)? ready\.?$" ::DELIM::  "Generic FTP fingerprint without a hostname"
"^Welcom to ProRat Ftp Server$" ::DELIM::  "The FTP server of the ProRat malware"
"^(?:(\S+) )?FTP Server \(vftpd ([\d.]+)\) ready\.?$" ::DELIM::  "Vermillion FTP Daemon"
"^(?:(\S+) )?FTP server \(QVT\/Net ([\d.]+)\) ready\.?$" ::DELIM::  "QVT/Net FTP Server"
"^0x000b2d00\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Sony H.323 Server"
"^0x0400004[23]\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Deutsche Telekom AG H.323 Server"
"^0x04000082\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "Siemens AG H.323 Server"
"^0x04000084\:(.*)\:.*?(\d*\.*\d*\.*\d*).*$" ::DELIM::  "ITO Communications H.323 Server"
